Table 6
F99 Reddening in Different Bandpasses

Bandpass	lambda_eff	R_V	Bandpass	lambda_eff	R_V	
	2.1	3.1	4.1	5.1		2.1	3.1	4.1	5.1	
Landolt U	3508.2	5.614	4.334	3.773	3.460	WFPC2 F300W	3087.6	6.777	4.902	4.127	3.710	
Landolt B	4329.0	4.355	3.626	3.290	3.096	WFPC2 F450W	4587.0	4.014	3.410	3.132	2.971	
Landolt V	5421.7	2.953	2.742	2.645	2.589	WFPC2 F555W	5439.4	2.976	2.755	2.653	2.594	
Landolt R	6427.8	2.124	2.169	2.189	2.201	WFPC2 F606W	5984.8	2.469	2.415	2.389	2.375	
Landolt I	8048.4	1.410	1.505	1.548	1.573	WFPC2 F702W	6887.9	1.850	1.948	1.994	2.020	
CTIO U	3733.9	5.170	4.107	3.628	3.355	WFPC2 F814W	7940.0	1.452	1.549	1.594	1.620	
CTIO B	4308.9	4.382	3.641	3.300	3.104	WFC3 F105W	10438.9	0.981	0.969	0.964	0.961	
CTIO V	5516.6	2.857	2.682	2.600	2.553	WFC3 F110W	11169.7	0.907	0.881	0.870	0.863	
CTIO R	6520.2	2.055	2.119	2.149	2.166	WFC3 F125W	12335.5	0.778	0.726	0.701	0.687	
CTIO I	8006.9	1.420	1.516	1.561	1.587	WFC3 F140W	13692.3	0.672	0.613	0.586	0.570	
UKIRT J	12482.9	0.764	0.709	0.684	0.669	WFC3 F160W	15258.3	0.570	0.512	0.485	0.469	
UKIRT H	16588.4	0.502	0.449	0.425	0.411	WFC3 F200LP	5515.2	3.457	2.958	2.743	2.625	
UKIRT K	21897.7	0.331	0.302	0.288	0.280	WFC3 F218W	2248.3	12.405	7.760	5.956	5.027	
UKIRT L"	37772.5	0.159	0.153	0.150	0.148	WFC3 F225W	2394.0	10.907	6.989	5.458	4.666	
Gunn g	5200.0	3.225	2.914	2.770	2.687	WFC3 F275W	2742.5	7.986	5.487	4.488	3.963	
Gunn r	6628.5	1.959	2.055	2.099	2.125	WFC3 F300X	2934.5	7.437	5.228	4.331	3.854	
Gunn i	7898.6	1.454	1.555	1.601	1.628	WFC3 F336W	3366.4	5.835	4.453	3.853	3.519	
Gunn z	9050.1	1.188	1.234	1.255	1.267	WFC3 F350LP	5877.1	2.876	2.624	2.509	2.443	
Spinrad R_S	6927.3	1.810	1.921	1.972	2.002	WFC3 F390W	3994.8	4.803	3.896	3.481	3.244	
Stromgren u	3510.0	5.539	4.305	3.759	3.452	WFC3 F438W	4335.3	4.347	3.623	3.288	3.095	
